Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage,Linkedin
Helios,https://finder.startupnationcentral.org/company_page/helios,"Sustainable Iron Production, On-site Resource Processing For Earth and In Space",Aerospace & Aviation,2018,51-200,Seed,12635226
Steakholder Foods,https://finder.startupnationcentral.org/company_page/steakholder-foods,Cultivated Meat and 3D Bio-printer,AgriFood-tech & Water,2019,Nov-50,Public,28824633
Carbonade,https://finder.startupnationcentral.org/company_page/carbonade,Electro-chemical CO2 Capture and Utilization Solution,Energy-tech,2022,01-Oct,Seed,79036541
Landa,https://finder.startupnationcentral.org/company_page/landa1,Real Estate Investing App,FinTech,2019,51-200,A,10547267
PlanetWatchers,https://finder.startupnationcentral.org/company_page/planetwatchers,Remote Sensing Analysis for Crop Insurance Applications,AgriFood-tech & Water,2016,Nov-50,A,17958574
DarioHealth,https://finder.startupnationcentral.org/company_page/labstyle-innovations,Digital Therapeutics for Treating Chronic Conditions,Life Sciences & HealthTech,2011,201-500,Public,2825359
Prospera Technologies,https://finder.startupnationcentral.org/company_page/prospera,Food Production Optimization Solution for the Agriculture Industry,AgriFood-tech & Water,2014,51-200,Mature,4853667
CaPow Technologies,https://finder.startupnationcentral.org/company_page/capow-technologies,Continuous Power for Robots,Energy-tech,2018,Nov-50,Seed,37376712
Forter,https://finder.startupnationcentral.org/company_page/forter,Fraud Prevention for Ecommerce,Security Technologies,2013,500+,F,5071248
Neema,https://finder.startupnationcentral.org/company_page/neema,Real-time Global Payment Solutions,FinTech,2015,51-200,A,4861953
Forsea,https://finder.startupnationcentral.org/company_page/forsea,Seafood Cultivation,AgriFood-tech & Water,2021,01-Oct,Seed,76997472
CarbonBlue,https://finder.startupnationcentral.org/company_page/carbonblue,"CarbonBlue has developed a novel ocean-based Carbon Dioxide Removal (CDR) technology, providing unrivaled standalone CDR solutions as well as seamless integration with water-based industrial systems.",Industrial Technologies,2022,Nov-50,Pre-Seed,90817084
Tipalti,https://finder.startupnationcentral.org/company_page/tipalti,Automation for Supplier Payments,FinTech,2010,500+,F,1770643
Faye,https://finder.startupnationcentral.org/company_page/faye,Whole-trip Travel Insurance,FinTech,2019,51-200,A,48184157
AgroScout,https://finder.startupnationcentral.org/company_page/agroscout,AI-based Crop Intelligence Solutions for Agriculture,AgriFood-tech & Water,2017,Nov-50,A,13004909
Comeet,https://finder.startupnationcentral.org/company_page/comeet,Collaborative Hiring Platform,"Enterprise, IT & Data Infrastructure",2012,51-200,Mature,2851598
Apollo Power,https://finder.startupnationcentral.org/company_page/apollo-power,Flexible Solar Film Panels,Energy-tech,2014,51-200,Public,11376684
ironSource,https://finder.startupnationcentral.org/company_page/ironsource,"Monetization, Engagement, Analytics, and Discovery Solutions",Retail & Marketing,2010,500+,Public,2657359
Imubit,https://finder.startupnationcentral.org/company_page/imubit,AI Process Optimization for Refiners and Chemical Operators,Industrial Technologies,2016,51-200,B,6408307
Ludeo,https://finder.startupnationcentral.org/company_page/edge-academy,AI-driven Gaming Platform,Content & Media,2020,Nov-50,A,42905253
Laguna Health,https://finder.startupnationcentral.org/company_page/laguna-health,AI-powered Contextual Care Management Solution,Life Sciences & HealthTech,2020,Nov-50,A,66893616
ADASKY,https://finder.startupnationcentral.org/company_page/adasky,Thermal Sensing Solutions for Safe Mobility,Smart Mobility,2015,51-200,B,10470765
Next Insurance,https://finder.startupnationcentral.org/company_page/next-insurance,Small Business Insurance Solutions,FinTech,2016,201-500,E,7805032
Axonius,https://finder.startupnationcentral.org/company_page/axonius,Cybersecurity Asset Management Solution,Security Technologies,2017,500+,E,18226665
ReWalk Robotics,https://finder.startupnationcentral.org/company_page/rewalk-robotics,Battery-powered Walking System,Life Sciences & HealthTech,2001,51-200,Public,3816322
AutoFleet,https://finder.startupnationcentral.org/company_page/autofleet,Optimization Platform for Fleets,Smart Mobility,2017,Nov-50,B,11456468
Optibus,https://finder.startupnationcentral.org/company_page/optibus,Scheduling Management and Optimization for Public Transportation Operators,Smart Mobility,2011,201-500,D,3023213
BioCatch,https://finder.startupnationcentral.org/company_page/biocatch,Al-driven Behavioral Biometrics for Cybersecurity,Security Technologies,2010,201-500,C,2689103
Lumen,https://finder.startupnationcentral.org/company_page/lumen,Virtual Nutritionist and Metabolism Measurement Device,Life Sciences & HealthTech,2014,51-200,B,10582911
Datagen,https://finder.startupnationcentral.org/company_page/datagen-technologies,Synthetic Data to Train Deep-learning Systems,"Enterprise, IT & Data Infrastructure",2017,51-200,B,28641774
Axis Security,https://finder.startupnationcentral.org/company_page/axis-security,Application Access Cloud,Security Technologies,2018,51-200,Mature,64776381
Datos Health,https://finder.startupnationcentral.org/company_page/datos-health,A remote care platform featuring interactive CareApps that guide patients through automated assisted self-care.,Life Sciences & HealthTech,2015,Nov-50,A,9450850
Assured Allies,https://finder.startupnationcentral.org/company_page/assured-allies,Longevity Risk Management Platform,Life Sciences & HealthTech,2017,51-200,B,18367980
Connecteam,https://finder.startupnationcentral.org/company_page/connecteam,All-in-one Employee Management App for Non-desk Teams,"Enterprise, IT & Data Infrastructure",2000,201-500,C,10591384
Diagnostic Robotics,https://finder.startupnationcentral.org/company_page/diagnostic-robotics,Predictive Healthcare Analytics,Life Sciences & HealthTech,2017,51-200,B,28162124
Juganu,https://finder.startupnationcentral.org/company_page/juganu,"Indoor, Outdoor, and Industrial Smart LED Lighting",Energy-tech,2010,51-200,C,13195842
Bluevine,https://finder.startupnationcentral.org/company_page/bluevine,Small Business Banking Solution,FinTech,2013,500+,F,4989275
NanoScent,https://finder.startupnationcentral.org/company_page/nanoscent,Real-time VOC Detection for Hydrogen Contamination Prevention & Biomarkers,Industrial Technologies,2017,Nov-50,A,18383186
Overwolf,https://finder.startupnationcentral.org/company_page/overwolf,In-Game Creators' Guild,Content & Media,2009,51-200,D,519584
Oshi,https://finder.startupnationcentral.org/company_page/oshi,Alternative Protein Seafood,AgriFood-tech & Water,2021,Nov-50,Seed,72379998
SGTech,https://finder.startupnationcentral.org/company_page/sgtech,Biogas Production and Waste Treatment Solution,Energy-tech,2015,Nov-50,A,22325745
Checkmarx,https://finder.startupnationcentral.org/company_page/checkmarx,Application Security Testing Solutions,Security Technologies,2006,500+,Mature,223472
Perimeter 81,https://finder.startupnationcentral.org/company_page/Perimeter81,Network Security Platform,Security Technologies,2013,51-200,Mature,18377228
Moodify,https://finder.startupnationcentral.org/company_page/moodify,Software-defined Scents,Life Sciences & HealthTech,2017,Nov-50,A,14844089
Albo Climate,https://finder.startupnationcentral.org/company_page/albo-climate, Environmental Intelligence Platform ,Aerospace & Aviation,2019,Nov-50,Seed,18967240
Darrow,https://finder.startupnationcentral.org/company_page/darrow,Justice Intelligence Platform,"Enterprise, IT & Data Infrastructure",2020,51-200,A,67191532
Fast Sense,https://finder.startupnationcentral.org/company_page/fast-sense,Hydrogen Gas Analysis and Leak Detection Solution,Energy-tech,2022,01-Oct,Pre-Funding,72088498
CorrActions,https://finder.startupnationcentral.org/company_page/corractions,Noninvasive Driver-monitoring Platform,Smart Mobility,2019,Nov-50,A,30729127
Arbe,https://finder.startupnationcentral.org/company_page/arbe-robotics,4D-imaging Radar for Autonomous Driving,Smart Mobility,2015,51-200,Public,12960415
Quantum Machines,https://finder.startupnationcentral.org/company_page/quantum-machines,Control Systems for Quantum Computers,"Enterprise, IT & Data Infrastructure",2018,51-200,B,28664205
BaTTeRi Thomas,https://finder.startupnationcentral.org/company_page/batteri-thomas,EV Charging as a Service,Energy-tech,2022,01-Oct,Pre-Seed,79443402
Coinmama,https://finder.startupnationcentral.org/company_page/coinmama,Purchasing Platform for Virtual Currency,FinTech,2013,51-200,Mature,9372758
Zohar CleanTech,https://finder.startupnationcentral.org/company_page/zohar-cleantech,Energy-generating Waste Disposal Systems,Energy-tech,2017,01-Oct,Seed,27133967
Bluebird Aero Systems,https://finder.startupnationcentral.org/company_page/bluebird-aero-systems,Unmanned Aerial Systems Manufacturer,Aerospace & Aviation,2002,51-200,Mature,3077622
Hello Heart,https://finder.startupnationcentral.org/company_page/hello-heart,Mobile Medical Data App,Life Sciences & HealthTech,2013,201-500,D,3024029
Tastewise,https://finder.startupnationcentral.org/company_page/fooddos,Consumer Intelligence Platform for Food Innovation,AgriFood-tech & Water,2017,51-200,A,27022057
Kamada,https://finder.startupnationcentral.org/company_page/kamada,Plasma-derived Protein Therapeutics,Life Sciences & HealthTech,1990,201-500,Public,117855
Flare,https://finder.startupnationcentral.org/company_page/flare,Streamlined Platform for Attorneys and Clients,"Enterprise, IT & Data Infrastructure",2019,201-500,A,71608599
Enervibe,https://finder.startupnationcentral.org/company_page/enervibe,Energy Harvesting Solutions,Energy-tech,2018,01-Oct,A,33518054
Gloat,https://finder.startupnationcentral.org/company_page/workey,AI-based Career Development Platform,"Enterprise, IT & Data Infrastructure",2014,201-500,D,5322109
Aquarius Engines,https://finder.startupnationcentral.org/company_page/aquarius-engines,Internal Combustion Engine for Cars and Generators,Energy-tech,2014,Nov-50,Public,4839401
NeoGames,https://finder.startupnationcentral.org/company_page/neogames-technologies,Cross-platform iLottery Solutions,Content & Media,2005,201-500,Public,215379
MetoMotion,https://finder.startupnationcentral.org/company_page/metomotion,Robotic System for Greenhouses,AgriFood-tech & Water,2016,01-Oct,Seed,
Firefly Neuroscience,https://finder.startupnationcentral.org/company_page/elminda,Measuring Brain Health,Life Sciences & HealthTech,2006,Nov-50,Seed,2531441
Ask-AI,https://finder.startupnationcentral.org/company_page/ask-ai,Natural Language Processing Solution,"Enterprise, IT & Data Infrastructure",2021,Nov-50,Seed,82655602
Cobwebs Technology,https://finder.startupnationcentral.org/company_page/cobwebs-technology,Web Intelligence Solutions for Security and Defense,Security Technologies,2015,51-200,Mature,10366794
GrayMatters Health,https://finder.startupnationcentral.org/company_page/graymatters-health,Digital Therapeutics for Mental Health,Life Sciences & HealthTech,2018,Nov-50,A,64704759
HAAT Delivery,https://finder.startupnationcentral.org/company_page/haat,Restaurant Discovery Platform,Retail & Marketing,2019,Nov-50,Seed,71233862
TipRanks,https://finder.startupnationcentral.org/company_page/tipranks,Financial Accountability Engine,FinTech,2012,51-200,B,2858966
Kodem Security,https://finder.startupnationcentral.org/company_page/kodem-security,Application Security Solutions,Security Technologies,2021,Nov-50,A,87390812
Trullion,https://finder.startupnationcentral.org/company_page/trullion,AI-Powered Accounting Software,FinTech,2019,51-200,A,35707306
Yotpo,https://finder.startupnationcentral.org/company_page/yotpo,eCommerce Marketing Platform,Retail & Marketing,2011,500+,F,1515446
3Dfy.ai,https://finder.startupnationcentral.org/company_page/3dfy,AI-based Platform for Creating High-quality 3D Models,"Enterprise, IT & Data Infrastructure",2019,01-Oct,Seed,28826720
Deep AI Technologies,https://finder.startupnationcentral.org/company_page/deep-ai,AI Process Acceleration,"Enterprise, IT & Data Infrastructure",2017,01-Oct,Seed,19208131
Papaya Global,https://finder.startupnationcentral.org/company_page/Papaya,Payroll and Workforce Management Tool for Global Enterprises,FinTech,2016,500+,D,7957327
Eco Wave Power,https://finder.startupnationcentral.org/company_page/eco-wave-power,Wave Energy Conversion Systems,Energy-tech,2011,Nov-50,Public,5399685
OKO,https://finder.startupnationcentral.org/company_page/oko,Crop Insurance Platform,FinTech,2018,Nov-50,Seed,18293606
NakAI Robotics,https://finder.startupnationcentral.org/company_page/nakai-robotics,Robotic Cleaning Solutions for Maritime Vessels,Industrial Technologies,2021,Nov-50,Pre-Seed,80944484
Nexar,https://finder.startupnationcentral.org/company_page/nexar,Community-based AI Dashcam App,Smart Mobility,2015,51-200,D,10460529
InspireMD,https://finder.startupnationcentral.org/company_page/inspiremd,Stent System Technology for Preventing Embolization,Life Sciences & HealthTech,2005,51-200,Public,2504112
Eleos Health,https://finder.startupnationcentral.org/company_page/eleos,Automated Behavioral Care Workflow Solution,Life Sciences & HealthTech,2019,51-200,A,14049571
Exodigo,https://finder.startupnationcentral.org/company_page/exodigo,Nonintrusive Subsurface Mapping Solution,Industrial Technologies,2021,51-200,Seed,76509232
Beewise,https://finder.startupnationcentral.org/company_page/beewise,Robotic Beehives,AgriFood-tech & Water,2018,51-200,C,28510465
Viz.ai,https://finder.startupnationcentral.org/company_page/viz,AI-powered Intelligent Care Coordination,Life Sciences & HealthTech,2016,201-500,D,17897131
REE Automotive,https://finder.startupnationcentral.org/company_page/ree,Flat and Modular Chassis for Electric Vehicles,Smart Mobility,2011,51-200,Public,19211633
EcoPlant,https://finder.startupnationcentral.org/company_page/ecoplant,Energy-saving SaaS Solution for Compressed Air Systems,Energy-tech,2016,Nov-50,Mature,17918517
XM Cyber,https://finder.startupnationcentral.org/company_page/xm,Risk-based Vulnerability Management Platform,Security Technologies,2015,51-200,Mature,17884641
Talon Cyber Security,https://finder.startupnationcentral.org/company_page/talon-cyber-security,Cybersecurity Solutions for Distributed Workforces,Security Technologies,2021,51-200,A,76840779
